name,business_id,industry,toi_code,toi_description,nearest_station,distance_km,address,website,status,registered,lat,lon,found_website
Dune Global Oy,3530908-3,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Hoyrykatu, 00520",,2,2025-05-02,60.1986848,24.933802,https://www.duneglobal.com/
Novedo Finland OpCo Oy,3531754-2,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Kuortaneenkatu, 00520",,2,2025-05-13,60.1986848,24.933802,
Sotkamon Energia Oy,3531766-5,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Veturitie, 00520",,2,2025-05-13,60.1986848,24.933802,https://www.sotkamo.fi/uutiset/uusi-yhteisyritys-kehittamaan-sotkamon-tulevaisuudenkestavaa-kaukolampoa/
KOy Kisällintie 11a,3533338-2,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-06-25,60.1986848,24.933802,
KOy Liekonkuja 14,3533345-4,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-05-28,60.1986848,24.933802,
SisuCode Oy,3533540-9,other,82100.0,Hallinto- ja toimistopalvelut,Pasila,0.08,"Veturitie, 00520",,2,2025-06-18,60.1986848,24.933802,
Tervica OY,3533541-7,other,82100.0,Hallinto- ja toimistopalvelut,Pasila,0.08,"Veturitie, 00520",,2,2025-07-04,60.1986848,24.933802,
Eficientia Oy,3533542-5,wholesale,46900.0,Yleistukkukauppa,Pasila,0.08,"Veturitie, 00520",,2,2025-06-10,60.1986848,24.933802,
RauhaTech OY,3533544-1,other,82100.0,Hallinto- ja toimistopalvelut,Pasila,0.08,"Veturitie, 00520",,2,2025-07-07,60.1986848,24.933802,
UB Asuntorahasto Finland Ky,3533911-9,finance,64310.0,Rahastotoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-05-12,60.1986848,24.933802,
Revalence Oy,3535693-9,other,69201.0,"Laskentatoimi, kirjanpito ja veroneuvonta",Pasila,0.08,"Firdonkatu, 00520",,2,2025-05-22,60.1986848,24.933802,
Prisma Properties Finland HoldCo 2 Oy,3536600-2,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-07-28,60.1986848,24.933802,https://prismaproperties.se/en/
Salpa Energy Oy,3536688-9,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Jamsankatu, 00520",,2,2025-06-10,60.1986848,24.933802,
Puheterapia Sanaparvi Oy,3538482-5,health,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Pasila,0.08,"Venttiilikuja, 00520",,2,2025-06-13,60.1986848,24.933802,
Puheterapia Heinia Oy,3538483-3,health,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Pasila,0.08,"Liukulaakerinkuja, 00520",,2,2025-06-13,60.1986848,24.933802,
PPI Finland Holding 7 Oy,3538806-8,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-06-14,60.1986848,24.933802,
PPI Finland Holding 8 Oy,3538807-6,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-06-14,60.1986848,24.933802,
PPI Finland Holding 9 Oy,3538808-4,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2025-06-14,60.1986848,24.933802,
HMI Smart Group Oy,3319881-8,hospitality,55100.0,Hotellit ja vastaava majoitustoiminta,Pasila,0.08,"Opastinsilta, 00520",,2,2022-11-24,60.1986848,24.933802,https://hmi-smart-group-oy-0667-helsinki-fi-00520-1.booked.net/
